BrainRegion,X,Y,Z
Cb_Right_VIIIb,17.985,-50.98,-54.948
Str_L_6_4 (vmPu),-22.437,6.639,-3.561
PCun_R_4_3 (dmPOS),16.3,-63.685,24.912
CG_L_7_5 (24cd),-4.727,6.887,37.283
PCun_L_4_1 (7m),-4.843,-63.564,50.805
pSTS_R_2_2 (cpSTS),56.707,-40,12.178
SPL_R_5_5 (7ip),30.877,-54.068,53.312
STG_R_6_1 (38m),31.243,15.062,-33.624
INS_R_6_4 (vId/vIg),39.153,-2.428,-8.894
MFG_R_7_1 (9/46d),30.157,36.999,35.776
MFG_R_7_5 (8vl),41.902,26.785,38.932
PhG_R_6_5 (TI),21.657,1.139,-35.924
SFG_R_7_3 (9l),12.9,48.167,40.148
Cb_Left_VIIIb,-16.759,-50.444,-54.806
SFG_L_7_7 (10m),-7.695,56.027,15.206
IPL_L_6_2 (39rd),-37.576,-61.363,46.499
Cun_L_5_1 (cLinG),-10.564,-82.317,-10.71
FuG_R_3_3 (37lv),42.583,-49.205,-18.666
IFG_R_6_1 (44d),45.131,16.291,25.204
IFG_L_6_1 (44d),-45.893,13.45,23.773
Cun_R_5_1 (cLinG),10.487,-85.53,-8.659
Str_L_6_3 (NAC),-16.847,3.756,-9.195
INS_L_6_1 (G),-36.338,-20.18,9.467
OrG_R_6_4 (11m),6.462,56.715,-16.409
Tha_R_8_8 (lPFtha),12.609,-16.355,6.461
Cb_Vermis_VIIIb,0.191,-63.684,-41.969
OrG_R_6_3 (11l),23.565,36.344,-18.07
SPL_L_5_1 (7r),-16.352,-59.987,62.797
Cb_Right_VIIIa,25.765,-58.089,-52.895
Str_L_6_6 (dlPu),-28.28,-5.142,1.277
Cb_Vermis_IX,-0.311,-55.56,-37.141
Cb_Left_IX,-6.815,-53.533,-48.251
CG_R_7_4 (23v),8.469,-43.892,11.361
Tha_L_8_3 (Stha),-17.594,-22.555,3.559
STG_L_6_1 (38m),-31.73,13.842,-34.53
PoG_R_4_3 (2),48.125,-24.005,47.845
STG_L_6_3 (TE1.0/TE1.2),-49.877,-10.774,1.444
IFG_L_6_2 (IFS),-47.357,31.889,13.744
STG_R_6_4 (22c),66.486,-20.568,6.522
Cun_R_5_3 (cCunG),8.62,-89.534,12.344
ITG_L_7_6 (20cl),-59.279,-41.819,-15.79
IFG_R_6_4 (45r),51.034,36.445,-0.49
PhG_R_6_6 (TH),19.011,-36.249,-11.402
Cb_Right_V,13.548,-51.088,-18.187
Hipp_R_2_1 (rHipp),21.883,-12.495,-20.004
IFG_R_6_6 (44v),53.714,13.985,11.028
OrG_L_6_6 (12/47l),-40.873,32.085,-9.379
SPL_L_5_2 (7c),-15.554,-70.739,51.552
ITG_L_7_3 (20r),-43.403,-2.354,-41.508
Str_L_6_1 (vCa),-11.794,14.614,-0.002
CG_L_7_2 (24rv),-3.363,8.603,25.023
SPL_R_5_4 (7pc),23.215,-43.371,66.952
MTG_R_4_1 (21c),64.823,-28.799,-13.206
CG_R_7_1 (23d),4.558,-36.896,31.58
SPL_L_5_4 (7pc),-22.584,-47.38,64.866
PhG_R_6_4 (28/34),18.73,-10.574,-29.326
INS_R_6_5 (dIg),39.114,-6.945,7.671
Cb_Vermis_Crus_II,-0.206,-74.972,-31.28
CG_R_7_6 (23c),6.35,-20.126,40.437
CG_R_7_7 (32sg),5.436,40.821,6.669
SPL_R_5_1 (7r),19.301,-56.856,64.869
IPL_R_6_4 (40c),57.319,-43.672,38.315
sOcG_L_2_2 (lsOccG),-22.141,-77.3,35.958
STG_L_6_2 (41/42),-53.759,-31.796,12.288
Cb_Right_I-IV,9.659,-43.189,-18.125
Cb_Vermis_VI,0.561,-70.285,-21.105
OcG_R_4_4 (iOccG),32.252,-84.548,-11.463
OrG_L_6_1 (14m),-6.589,53.362,-6.905
Cun_L_5_4 (rLinG),-16.45,-60.499,-6.358
OrG_R_6_1 (14m),6.371,47.452,-6.941
PhG_L_6_4 (28/34),-18.593,-11.68,-30.185
SFG_L_7_2 (8dl),-18.163,23.582,52.829
INS_L_6_3 (dIa),-34.324,17.72,1.202
IPL_L_6_1 (39c),-34.137,-80.513,28.702
Cb_Vermis_VIIIa,0.362,-67.173,-37.631
PrG_R_6_6 (6cvl),51.192,7.17,30.368
OcG_R_4_1 (mOccG),34.379,-85.893,10.82
OrG_R_6_5 (13),9.153,20.328,-19.392
Cun_R_5_4 (rLinG),18.241,-59.812,-6.817
SPL_R_5_2 (7c),18.564,-68.844,53.831
INS_R_6_6 (dId),38.255,5.456,4.721
CG_L_7_4 (23v),-8.364,-47.161,9.516
FuG_L_3_1 (20rv),-32.779,-16.187,-32.228
Tha_R_8_3 (Stha),17.625,-21.543,3.187
INS_R_6_1 (G),37.355,-17.885,8.117
Amyg_L_2_1 (mAmyg),-18.786,-2.365,-20.018
PhG_R_6_3 (TL),29.712,-29.853,-17.947
PrG_L_6_3 (4ul),-26.447,-24.841,62.609
OrG_L_6_2 (12/47o),-36.215,33.497,-15.932
OcG_L_4_2 (V5/MT),-45.652,-73.662,2.984
OcG_R_4_2 (V5/MT),47.781,-70.114,-0.63
IPL_R_6_6 (40rv),55.108,-26.2,25.648
MFG_L_7_7 (10l),-25.505,60.378,-5.415
Tha_L_8_6 (Otha),-15.017,-28.075,3.794
Str_R_6_4 (vmPu),21.653,7.962,-1.535
SFG_R_7_4 (6dl),20.186,4.196,63.922
PrG_L_6_2 (6cdl),-31.815,-9.095,57.827
STG_R_6_3 (TE1.0/TE1.2),50.712,-3.784,-1.05
STG_L_6_5 (38l),-44.753,10.797,-19.534
IFG_L_6_4 (45r),-48.783,36.185,-2.62
PrG_L_6_6 (6cvl),-49.177,4.748,30.3
FuG_L_3_3 (37lv),-42.145,-50.181,-17.514
MFG_L_7_6 (6vl),-32.252,3.818,54.674
Tha_L_8_4 (rTtha),-6.72,-13.603,6.651
MFG_L_7_2 (IFJ),-41.574,13.255,36.264
MTG_L_4_4 (aSTS),-58.449,-19.599,-9.482
PCL_R_2_2 (4ll),4.608,-21.061,61.121
Cb_Left_I-IV,-6.946,-44.271,-16.95
Tha_R_8_2 (mPMtha),12.629,-13.733,1.024
INS_L_6_2 (vIa),-32.087,14.118,-13.038
PhG_L_6_2 (35/36c),-25.202,-24.831,-26.321
SFG_R_7_2 (8dl),21.605,25.579,51.372
INS_L_6_5 (dIg),-38.506,-8.05,8.343
ITG_L_7_7 (20cv),-54.78,-30.977,-26.937
pSTS_L_2_1 (rpSTS),-54.153,-39.903,4.19
IFG_R_6_5 (44op),41.98,21.878,3.455
ITG_R_7_1 (20iv),45.756,-14.353,-32.756
Str_L_6_2 (GP),-21.757,-1.882,3.93
Str_R_6_1 (vCa),14.674,14.668,-2.538
INS_L_6_6 (dId),-37.826,5.281,4.404
CG_L_7_1 (23d),-3.679,-39.216,31.114
Cb_Right_IX,6.949,-53.512,-48.574
ITG_R_7_3 (20r),40.315,0.42,-43.156
pSTS_L_2_2 (cpSTS),-52.479,-50.188,10.461
CG_L_7_7 (32sg),-4.403,39.017,-1.803
MTG_R_4_2 (21r),51.425,5.556,-31.851
Tha_R_8_4 (rTtha),2.323,-12.514,5.218
